country,date,total_vaccinations
Cuba,2021-07-04,6718887.0
Cuba,2021-07-05,6759085.0
Cuba,2021-07-06,6833720.0
Cuba,2021-07-07,7005786.0
Cuba,2021-07-08,7160316.0
Cuba,2021-07-09,7275137.0
Cuba,2021-07-10,7469503.0
Cuba,2021-07-11,7507406.0
Cuba,2021-07-12,7618028.0
Cuba,2021-07-13,7767601.0
Cuba,2021-07-14,7900105.0
Cuba,2021-07-15,8029388.0
Cuba,2021-07-16,8146748.0
Cuba,2021-07-17,8225205.0
Cuba,2021-07-18,8260167.0
Cuba,2021-07-19,8316836.0
Cuba,2021-07-20,8388988.0
Cuba,2021-07-21,8546995.0
Cuba,2021-07-22,8681522.0
Cuba,2021-07-23,8804553.0
Cuba,2021-07-24,8900350.0
Cuba,2021-07-25,8913141.0
Cuba,2021-07-26,8945084.0
Cuba,2021-07-27,9085122.0
Curacao,2021-03-29,19609.0
Curacao,2021-03-30,20485.0
Curacao,2021-04-01,22339.0
Curacao,2021-04-05,28137.0
Curacao,2021-04-06,30206.0
Curacao,2021-04-07,32330.0
Curacao,2021-04-08,34130.0
Curacao,2021-04-09,36866.0
Curacao,2021-04-10,40648.0
Curacao,2021-04-13,49926.0
Curacao,2021-04-14,53519.0
Curacao,2021-04-15,58175.0
Curacao,2021-04-16,61031.0
Curacao,2021-04-17,64447.0
Curacao,2021-04-19,68760.0
Curacao,2021-04-20,71973.0
Curacao,2021-04-21,74839.0
Curacao,2021-04-22,77687.0
Curacao,2021-04-23,80356.0
Curacao,2021-04-24,84016.0
Curacao,2021-04-25,84716.0
Curacao,2021-04-26,86781.0
Curacao,2021-04-27,89193.0
Curacao,2021-04-28,89746.0
Curacao,2021-04-29,93919.0
Curacao,2021-04-30,95693.0
Curacao,2021-05-01,97496.0
Curacao,2021-05-02,97504.0
Curacao,2021-05-03,100527.0
Curacao,2021-05-04,102803.0
Curacao,2021-05-05,105720.0
Curacao,2021-05-06,106971.0
Curacao,2021-05-08,108202.0
Curacao,2021-05-09,109444.0
Curacao,2021-05-10,110103.0
Curacao,2021-05-11,111446.0
Curacao,2021-05-12,112966.0
Curacao,2021-05-13,115561.0
Curacao,2021-05-14,117613.0
Curacao,2021-05-15,120109.0
Curacao,2021-05-16,123637.0
Curacao,2021-05-17,125633.0
Curacao,2021-05-18,129059.0
Curacao,2021-05-19,132406.0
Curacao,2021-05-20,135302.0
Curacao,2021-05-21,139995.0
Curacao,2021-05-22,142102.0
Curacao,2021-05-23,143089.0
Curacao,2021-05-24,144571.0
Curacao,2021-05-25,147005.0
Curacao,2021-05-26,147350.0
Curacao,2021-05-27,148687.0
Curacao,2021-05-28,150319.0
Curacao,2021-05-29,151302.0
Curacao,2021-05-30,152260.0
Curacao,2021-05-31,153779.0
Curacao,2021-06-01,154426.0
Curacao,2021-06-02,155208.0
Curacao,2021-06-03,156188.0
Curacao,2021-06-04,156456.0
Curacao,2021-06-05,157135.0
Curacao,2021-06-06,157556.0
Curacao,2021-06-07,158274.0
Curacao,2021-06-08,158977.0
Curacao,2021-06-09,159552.0
Curacao,2021-06-10,160026.0
Curacao,2021-06-11,160585.0
Curacao,2021-06-12,161143.0
Curacao,2021-06-13,161498.0
Curacao,2021-06-14,162024.0
Curacao,2021-06-15,162453.0
Curacao,2021-06-16,162833.0
Curacao,2021-06-17,163189.0
Curacao,2021-06-18,163693.0
Curacao,2021-06-19,164039.0
Curacao,2021-06-20,164397.0
Curacao,2021-06-21,164581.0
Curacao,2021-06-22,164881.0
Curacao,2021-06-23,165266.0
Curacao,2021-06-24,165545.0
Curacao,2021-06-25,165936.0
Curacao,2021-06-26,166168.0
Curacao,2021-06-27,166466.0
Curacao,2021-06-28,166942.0
Curacao,2021-06-29,167151.0
Curacao,2021-06-30,167493.0
Curacao,2021-07-01,167589.0
Curacao,2021-07-02,167673.0
Curacao,2021-07-03,167952.0
Curacao,2021-07-04,168003.0
Curacao,2021-07-06,168493.0
Curacao,2021-07-07,168879.0
Curacao,2021-07-09,169429.0
Curacao,2021-07-10,169974.0
Curacao,2021-07-13,170473.0
Curacao,2021-07-14,170857.0
Curacao,2021-07-15,171241.0
Curacao,2021-07-16,171286.0
Curacao,2021-07-17,171810.0
Curacao,2021-07-18,171832.0
Curacao,2021-07-19,172239.0
Curacao,2021-07-20,172271.0
Curacao,2021-07-21,172696.0
Curacao,2021-07-22,172926.0
Curacao,2021-07-23,173010.0
Curacao,2021-07-24,173470.0
Curacao,2021-07-27,173812.0
Curacao,2021-07-28,174286.0
Cyprus,2021-01-06,3901.0
Cyprus,2021-01-10,6035.0
Cyprus,2021-01-16,10226.0
Cyprus,2021-01-23,17739.0
Cyprus,2021-01-30,25519.0
Cyprus,2021-02-06,32837.0
Cyprus,2021-02-13,44429.0
Cyprus,2021-02-20,56791.0
Cyprus,2021-02-23,64562.0
Cyprus,2021-02-26,76176.0
Cyprus,2021-03-07,99275.0
Cyprus,2021-03-20,129438.0
Cyprus,2021-04-03,161526.0
Cyprus,2021-04-07,174626.0
Cyprus,2021-04-09,183225.0
Cyprus,2021-04-16,202441.0
Cyprus,2021-04-19,214675.0
Cyprus,2021-04-20,219654.0
Cyprus,2021-04-21,224352.0
Cyprus,2021-04-23,236265.0
Cyprus,2021-05-01,287816.0
Cyprus,2021-05-06,332423.0
Cyprus,2021-05-10,371430.0
Cyprus,2021-05-11,384639.0
Cyprus,2021-05-12,400004.0
Cyprus,2021-05-14,424489.0
Cyprus,2021-05-16,434550.0
Cyprus,2021-05-17,448734.0
Cyprus,2021-05-18,461901.0
Cyprus,2021-05-19,476020.0
Cyprus,2021-05-21,504008.0
Cyprus,2021-05-23,522144.0
Cyprus,2021-05-24,533282.0
Cyprus,2021-05-26,560664.0
Cyprus,2021-05-27,572426.0
Cyprus,2021-05-30,595906.0
Cyprus,2021-06-01,615264.0
Cyprus,2021-06-02,622305.0
Cyprus,2021-06-03,632437.0
Cyprus,2021-06-06,649005.0
Cyprus,2021-06-07,654896.0
Cyprus,2021-06-08,662063.0
Cyprus,2021-06-09,673101.0
Cyprus,2021-06-10,681219.0
Cyprus,2021-06-11,689776.0
Cyprus,2021-06-12,701370.0
Cyprus,2021-06-15,718775.0
Cyprus,2021-06-16,728458.0
Cyprus,2021-06-17,739365.0
Cyprus,2021-06-19,753106.0
Cyprus,2021-06-23,768273.0
Cyprus,2021-06-24,777935.0
Cyprus,2021-06-30,809234.0
Cyprus,2021-07-02,829778.0
Cyprus,2021-07-03,835997.0
Cyprus,2021-07-05,849209.0
Cyprus,2021-07-06,856951.0
Cyprus,2021-07-07,867092.0
Cyprus,2021-07-08,876257.0
Cyprus,2021-07-09,883863.0
Cyprus,2021-07-10,887110.0
Cyprus,2021-07-12,897325.0
Cyprus,2021-07-13,903842.0
Cyprus,2021-07-14,910376.0
Cyprus,2021-07-15,916819.0
Cyprus,2021-07-17,925470.0
Cyprus,2021-07-19,934112.0
Cyprus,2021-07-20,941398.0
Cyprus,2021-07-21,946070.0
Cyprus,2021-07-22,950981.0
Cyprus,2021-07-24,958796.0
Cyprus,2021-07-25,959464.0
Cyprus,2021-07-27,970077.0
Cyprus,2021-07-28,974906.0
Cyprus,2021-07-29,980404.0
Czechia,2020-12-13,1.0
Czechia,2020-12-14,2.0
Czechia,2020-12-20,5.0
Czechia,2020-12-22,8.0
Czechia,2020-12-23,9.0
Czechia,2020-12-27,1267.0
Czechia,2020-12-28,3567.0
Czechia,2020-12-29,7021.0
Czechia,2020-12-30,10510.0
Czechia,2020-12-31,11816.0
Czechia,2021-01-01,12078.0
Czechia,2021-01-02,13348.0
Czechia,2021-01-03,14264.0
Czechia,2021-01-04,17851.0
Czechia,2021-01-05,22350.0
Czechia,2021-01-06,28181.0
Czechia,2021-01-07,36138.0
Czechia,2021-01-08,46100.0
Czechia,2021-01-09,48115.0
Czechia,2021-01-10,49871.0
Czechia,2021-01-11,59684.0
Czechia,2021-01-12,73079.0
Czechia,2021-01-13,86572.0
Czechia,2021-01-14,101754.0
Czechia,2021-01-15,115709.0
Czechia,2021-01-16,119086.0
Czechia,2021-01-17,122323.0
Czechia,2021-01-18,136609.0
Czechia,2021-01-19,151835.0
Czechia,2021-01-20,168101.0
Czechia,2021-01-21,185423.0
Czechia,2021-01-22,201275.0
Czechia,2021-01-23,205438.0
Czechia,2021-01-24,208548.0
Czechia,2021-01-25,221117.0
Czechia,2021-01-26,235592.0
Czechia,2021-01-27,249098.0
Czechia,2021-01-28,262253.0
Czechia,2021-01-29,276293.0
Czechia,2021-01-30,278105.0
Czechia,2021-01-31,279982.0
Czechia,2021-02-01,291839.0
Czechia,2021-02-02,306159.0
Czechia,2021-02-03,321522.0
Czechia,2021-02-04,339350.0
Czechia,2021-02-05,355429.0
Czechia,2021-02-06,358608.0
Czechia,2021-02-07,361933.0
Czechia,2021-02-08,377336.0
Czechia,2021-02-09,394312.0
Czechia,2021-02-10,412977.0
Czechia,2021-02-11,435415.0
Czechia,2021-02-12,456802.0
Czechia,2021-02-13,461363.0
Czechia,2021-02-14,463727.0
Czechia,2021-02-15,479425.0
Czechia,2021-02-16,497148.0
Czechia,2021-02-17,515083.0
Czechia,2021-02-18,535375.0
Czechia,2021-02-19,554499.0
Czechia,2021-02-20,557634.0
Czechia,2021-02-21,559747.0
Czechia,2021-02-22,575837.0
Czechia,2021-02-23,595667.0
Czechia,2021-02-24,615498.0
Czechia,2021-02-25,638958.0
Czechia,2021-02-26,660400.0
Czechia,2021-02-27,663943.0
Czechia,2021-02-28,666829.0
Czechia,2021-03-01,689723.0
Czechia,2021-03-02,720410.0
Czechia,2021-03-03,755647.0
Czechia,2021-03-04,793439.0
Czechia,2021-03-05,827520.0
Czechia,2021-03-06,840450.0
Czechia,2021-03-07,852669.0
Czechia,2021-03-08,887081.0
Czechia,2021-03-09,929593.0
Czechia,2021-03-10,977645.0
Czechia,2021-03-11,1030634.0
Czechia,2021-03-12,1077688.0
Czechia,2021-03-13,1095996.0
Czechia,2021-03-14,1109194.0
Czechia,2021-03-15,1146219.0
Czechia,2021-03-16,1195494.0
Czechia,2021-03-17,1243346.0
Czechia,2021-03-18,1293544.0
Czechia,2021-03-19,1341421.0
Czechia,2021-03-20,1358504.0
Czechia,2021-03-21,1367415.0
Czechia,2021-03-22,1404202.0
Czechia,2021-03-23,1443993.0
Czechia,2021-03-24,1486431.0
Czechia,2021-03-25,1530469.0
Czechia,2021-03-26,1572628.0
Czechia,2021-03-27,1585849.0
Czechia,2021-03-28,1595498.0
Czechia,2021-03-29,1635124.0
Czechia,2021-03-30,1681817.0
Czechia,2021-03-31,1731791.0
Czechia,2021-04-01,1789200.0
Czechia,2021-04-02,1808776.0
Czechia,2021-04-03,1823229.0
Czechia,2021-04-04,1834479.0
Czechia,2021-04-05,1843958.0
Czechia,2021-04-06,1889152.0
Czechia,2021-04-07,1934546.0
Czechia,2021-04-08,2003818.0
Czechia,2021-04-09,2072996.0
Czechia,2021-04-10,2103578.0
Czechia,2021-04-11,2123287.0
Czechia,2021-04-12,2186211.0
Czechia,2021-04-13,2248148.0
Czechia,2021-04-14,2314096.0
Czechia,2021-04-15,2387384.0
Czechia,2021-04-16,2457421.0
Czechia,2021-04-17,2482990.0
Czechia,2021-04-18,2500860.0
Czechia,2021-04-19,2560066.0
Czechia,2021-04-20,2617920.0
Czechia,2021-04-21,2679800.0
Czechia,2021-04-22,2751463.0
Czechia,2021-04-23,2813074.0
Czechia,2021-04-24,2836037.0
Czechia,2021-04-25,2854647.0
Czechia,2021-04-26,2911109.0
Czechia,2021-04-27,2971202.0
Czechia,2021-04-28,3042352.0
Czechia,2021-04-29,3121959.0
Czechia,2021-04-30,3192494.0
Czechia,2021-05-01,3215041.0
Czechia,2021-05-02,3236120.0
Czechia,2021-05-03,3307142.0
Czechia,2021-05-04,3380186.0
Czechia,2021-05-05,3460598.0
Czechia,2021-05-06,3549457.0
Czechia,2021-05-07,3634664.0
Czechia,2021-05-08,3665590.0
Czechia,2021-05-09,3690897.0
Czechia,2021-05-10,3768958.0
Czechia,2021-05-11,3851880.0
Czechia,2021-05-12,3939016.0
Czechia,2021-05-13,4030479.0
Czechia,2021-05-14,4116364.0
Czechia,2021-05-15,4150270.0
Czechia,2021-05-16,4177162.0
Czechia,2021-05-17,4255346.0
Czechia,2021-05-18,4339121.0
Czechia,2021-05-19,4430251.0
Czechia,2021-05-20,4530767.0
Czechia,2021-05-21,4625619.0
Czechia,2021-05-22,4668760.0
Czechia,2021-05-23,4699980.0
Czechia,2021-05-24,4779168.0
Czechia,2021-05-25,4864746.0
Czechia,2021-05-26,4967859.0
Czechia,2021-05-27,5074192.0
Czechia,2021-05-28,5180060.0
Czechia,2021-05-29,5226055.0
Czechia,2021-05-30,5262725.0
Czechia,2021-05-31,5363846.0
Czechia,2021-06-01,5468734.0
Czechia,2021-06-02,5582910.0
Czechia,2021-06-03,5698231.0
Czechia,2021-06-04,5815199.0
Czechia,2021-06-05,5867870.0
Czechia,2021-06-06,5909714.0
Czechia,2021-06-07,6025601.0
Czechia,2021-06-08,6141200.0
Czechia,2021-06-09,6260721.0
Czechia,2021-06-10,6382021.0
Czechia,2021-06-11,6500296.0
Czechia,2021-06-12,6552781.0
Czechia,2021-06-13,6595018.0
Czechia,2021-06-14,6709130.0
Czechia,2021-06-15,6823140.0
Czechia,2021-06-16,6940582.0
Czechia,2021-06-17,7060060.0
Czechia,2021-06-18,7179654.0
Czechia,2021-06-19,7230416.0
Czechia,2021-06-20,7271356.0
Czechia,2021-06-21,7380582.0
Czechia,2021-06-22,7493096.0
Czechia,2021-06-23,7607154.0
Czechia,2021-06-24,7724761.0
Czechia,2021-06-25,7839586.0
Czechia,2021-06-26,7889888.0
Czechia,2021-06-27,7930243.0
Czechia,2021-06-28,8042064.0
Czechia,2021-06-29,8155774.0
Czechia,2021-06-30,8272326.0
Czechia,2021-07-01,8383786.0
Czechia,2021-07-02,8493911.0
Czechia,2021-07-03,8532236.0
Czechia,2021-07-04,8561399.0
Czechia,2021-07-05,8593885.0
Czechia,2021-07-06,8626675.0
Czechia,2021-07-07,8729813.0
Czechia,2021-07-08,8824887.0
Czechia,2021-07-09,8919970.0
Czechia,2021-07-10,8957650.0
Czechia,2021-07-11,8988856.0
Czechia,2021-07-12,9083500.0
Czechia,2021-07-13,9177063.0
Czechia,2021-07-14,9272408.0
Czechia,2021-07-15,9364493.0
Czechia,2021-07-16,9461733.0
Czechia,2021-07-17,9501169.0
Czechia,2021-07-18,9534609.0
Czechia,2021-07-19,9622692.0
Czechia,2021-07-20,9708535.0
Czechia,2021-07-21,9791578.0
Czechia,2021-07-22,9868600.0
Czechia,2021-07-23,9942241.0
Czechia,2021-07-24,9975570.0
Czechia,2021-07-25,10002655.0
Czechia,2021-07-26,10070347.0
Czechia,2021-07-27,10134464.0
Czechia,2021-07-28,10195717.0
Czechia,2021-07-29,10252023.0
Democratic Republic of Congo,2021-04-18,0.0
Democratic Republic of Congo,2021-04-25,1700.0
Democratic Republic of Congo,2021-05-12,8446.0
Democratic Republic of Congo,2021-05-18,11155.0
Democratic Republic of Congo,2021-05-21,15436.0
Democratic Republic of Congo,2021-05-24,18204.0
Democratic Republic of Congo,2021-05-26,19597.0
Democratic Republic of Congo,2021-05-31,23197.0
Democratic Republic of Congo,2021-06-28,59443.0
Democratic Republic of Congo,2021-07-05,65567.0
Democratic Republic of Congo,2021-07-12,73764.0
Democratic Republic of Congo,2021-07-19,79237.0
Democratic Republic of Congo,2021-07-24,81384.0
Denmark,2020-12-17,1.0
Denmark,2020-12-18,2.0
Denmark,2020-12-19,3.0
Denmark,2020-12-21,4.0
Denmark,2020-12-22,5.0
Denmark,2020-12-23,8.0
Denmark,2020-12-24,11.0
Denmark,2020-12-26,13.0
Denmark,2020-12-27,6200.0
Denmark,2020-12-28,8188.0
Denmark,2020-12-29,16822.0
Denmark,2020-12-30,27863.0
Denmark,2020-12-31,33743.0
Denmark,2021-01-01,35973.0
Denmark,2021-01-02,44399.0
Denmark,2021-01-03,50067.0
Denmark,2021-01-04,52455.0
Denmark,2021-01-05,65415.0
Denmark,2021-01-06,84288.0
Denmark,2021-01-07,101004.0
Denmark,2021-01-08,109113.0
Denmark,2021-01-09,110985.0
Denmark,2021-01-10,111804.0
Denmark,2021-01-11,112464.0
Denmark,2021-01-12,112926.0
Denmark,2021-01-13,125403.0
Denmark,2021-01-14,142887.0
Denmark,2021-01-15,157681.0
Denmark,2021-01-16,162170.0
Denmark,2021-01-17,165244.0
Denmark,2021-01-18,171049.0
Denmark,2021-01-19,175463.0
Denmark,2021-01-20,178738.0
Denmark,2021-01-21,182507.0
Denmark,2021-01-22,188703.0
Denmark,2021-01-23,196285.0
Denmark,2021-01-24,203134.0
Denmark,2021-01-25,205812.0
Denmark,2021-01-26,207703.0
Denmark,2021-01-27,212162.0
Denmark,2021-01-28,220387.0
Denmark,2021-01-29,239342.0
Denmark,2021-01-30,253044.0
Denmark,2021-01-31,266057.0
Denmark,2021-02-01,274530.0
Denmark,2021-02-02,279441.0
Denmark,2021-02-03,287042.0
Denmark,2021-02-04,299220.0
Denmark,2021-02-05,313954.0
Denmark,2021-02-06,321605.0
Denmark,2021-02-07,327047.0
Denmark,2021-02-08,336467.0
Denmark,2021-02-09,344759.0
Denmark,2021-02-10,351863.0
Denmark,2021-02-11,359962.0
Denmark,2021-02-12,379579.0
Denmark,2021-02-13,387032.0
Denmark,2021-02-14,393827.0
Denmark,2021-02-15,410597.0
Denmark,2021-02-16,425015.0
Denmark,2021-02-17,435789.0
Denmark,2021-02-18,447499.0
Denmark,2021-02-19,462239.0
Denmark,2021-02-20,473188.0
Denmark,2021-02-21,484229.0
Denmark,2021-02-22,498737.0
Denmark,2021-02-23,514944.0
Denmark,2021-02-24,530487.0
Denmark,2021-02-25,545586.0
Denmark,2021-02-26,582444.0
Denmark,2021-02-27,590476.0
Denmark,2021-02-28,602740.0
Denmark,2021-03-01,623419.0
Denmark,2021-03-02,641343.0
Denmark,2021-03-03,655307.0
Denmark,2021-03-04,674512.0
Denmark,2021-03-05,696726.0
Denmark,2021-03-06,715234.0
Denmark,2021-03-07,731507.0
Denmark,2021-03-08,747477.0
Denmark,2021-03-09,765500.0
Denmark,2021-03-10,784708.0
Denmark,2021-03-11,797201.0
Denmark,2021-03-12,811091.0
Denmark,2021-03-13,821484.0
Denmark,2021-03-14,832053.0
Denmark,2021-03-15,844698.0
Denmark,2021-03-16,860920.0
Denmark,2021-03-17,880788.0
Denmark,2021-03-18,902668.0
Denmark,2021-03-19,922217.0
Denmark,2021-03-20,929982.0
Denmark,2021-03-21,939605.0
Denmark,2021-03-22,951457.0
Denmark,2021-03-23,965135.0
Denmark,2021-03-24,988441.0
Denmark,2021-03-25,1004591.0
Denmark,2021-03-26,1018613.0
Denmark,2021-03-27,1031693.0
Denmark,2021-03-28,1045282.0
Denmark,2021-03-29,1069475.0
Denmark,2021-03-30,1097169.0
Denmark,2021-03-31,1120023.0
Denmark,2021-04-01,1131183.0
Denmark,2021-04-02,1143088.0
Denmark,2021-04-03,1157395.0
Denmark,2021-04-04,1170854.0
Denmark,2021-04-05,1184510.0
Denmark,2021-04-06,1206662.0
Denmark,2021-04-07,1231571.0
Denmark,2021-04-08,1253912.0
Denmark,2021-04-09,1279102.0
Denmark,2021-04-10,1301336.0
Denmark,2021-04-11,1320160.0
Denmark,2021-04-12,1425797.0
Denmark,2021-04-13,1450579.0
Denmark,2021-04-14,1473230.0
Denmark,2021-04-15,1497670.0
Denmark,2021-04-16,1523290.0
Denmark,2021-04-17,1544842.0
Denmark,2021-04-18,1564485.0
Denmark,2021-04-19,1603744.0
Denmark,2021-04-20,1642800.0
Denmark,2021-04-21,1678121.0
Denmark,2021-04-22,1711788.0
Denmark,2021-04-23,1745200.0
Denmark,2021-04-24,1767725.0
Denmark,2021-04-25,1788227.0
Denmark,2021-04-26,1827609.0
Denmark,2021-04-27,1875140.0
Denmark,2021-04-28,1919892.0
Denmark,2021-04-29,1963781.0
Denmark,2021-04-30,1981180.0
Denmark,2021-05-01,1994618.0
Denmark,2021-05-02,2025093.0
Denmark,2021-05-03,2091318.0
Denmark,2021-05-04,2143803.0
Denmark,2021-05-05,2199925.0
Denmark,2021-05-06,2247056.0
Denmark,2021-05-07,2288191.0
Denmark,2021-05-08,2328524.0
Denmark,2021-05-09,2361146.0
Denmark,2021-05-10,2423894.0
Denmark,2021-05-11,2479888.0
Denmark,2021-05-12,2533060.0
Denmark,2021-05-13,2572451.0
Denmark,2021-05-14,2623830.0
Denmark,2021-05-15,2658707.0
Denmark,2021-05-16,2692773.0
Denmark,2021-05-17,2753986.0
Denmark,2021-05-18,2814385.0
Denmark,2021-05-19,2868804.0
Denmark,2021-05-20,2923649.0
Denmark,2021-05-21,2978224.0
Denmark,2021-05-22,3016070.0
Denmark,2021-05-23,3044848.0
Denmark,2021-05-24,3078001.0
Denmark,2021-05-25,3134368.0
Denmark,2021-05-26,3202272.0
Denmark,2021-05-27,3263722.0
Denmark,2021-05-28,3314281.0
Denmark,2021-05-30,3348871.0
Denmark,2021-05-31,3438466.0
Denmark,2021-06-01,3495075.0
Denmark,2021-06-02,3554231.0
Denmark,2021-06-03,3612098.0
Denmark,2021-06-05,3665526.0
Denmark,2021-06-06,3749225.0
Denmark,2021-06-07,3820991.0
Denmark,2021-06-08,3896573.0
Denmark,2021-06-09,3972034.0
Denmark,2021-06-10,4045284.0
Denmark,2021-06-11,4109035.0
Denmark,2021-06-13,4152819.0
Denmark,2021-06-14,4267769.0
Denmark,2021-06-15,4345062.0
Denmark,2021-06-17,4427939.0
Denmark,2021-06-19,4554158.0
Denmark,2021-06-20,4611850.0
Denmark,2021-06-21,4703566.0
Denmark,2021-06-22,4776243.0
Denmark,2021-06-23,4846625.0
Denmark,2021-06-24,4913766.0
Denmark,2021-06-25,4975336.0
Denmark,2021-06-26,5016668.0
Denmark,2021-06-27,5056765.0
Denmark,2021-06-28,5120632.0
Denmark,2021-06-29,5192820.0
Denmark,2021-06-30,5263677.0
Denmark,2021-07-01,5335577.0
Denmark,2021-07-02,5398716.0
Denmark,2021-07-03,5442863.0
Denmark,2021-07-04,5484919.0
Denmark,2021-07-05,5559851.0
Denmark,2021-07-07,5642905.0
Denmark,2021-07-08,5812028.0
Denmark,2021-07-09,5890105.0
Denmark,2021-07-10,5942561.0
Denmark,2021-07-11,5999248.0
Denmark,2021-07-13,6088821.0
Denmark,2021-07-14,6266892.0
Denmark,2021-07-16,6353144.0
Denmark,2021-07-17,6477508.0
Denmark,2021-07-19,6531932.0
Denmark,2021-07-20,6707916.0
Denmark,2021-07-21,6792878.0
Denmark,2021-07-22,6868767.0
Denmark,2021-07-23,6937158.0
Denmark,2021-07-25,6978645.0
Denmark,2021-07-26,7090073.0
Denmark,2021-07-28,7157842.0
Djibouti,2021-04-17,10246.0
Djibouti,2021-04-28,13042.0
Djibouti,2021-05-24,14943.0
Djibouti,2021-06-01,21357.0
Djibouti,2021-06-23,26796.0
Dominica,2021-02-11,0.0
Dominica,2021-02-23,2465.0
Dominica,2021-02-25,4811.0
Dominica,2021-02-26,5924.0
Dominica,2021-03-01,7202.0
Dominica,2021-03-02,8238.0
Dominica,2021-03-03,9464.0
Dominica,2021-03-04,10476.0
Dominica,2021-03-05,11368.0
Dominica,2021-03-08,12275.0
Dominica,2021-03-10,13135.0
Dominica,2021-03-11,13565.0
Dominica,2021-03-22,15304.0
Dominica,2021-03-25,16058.0
Dominica,2021-03-31,17674.0
Dominica,2021-04-01,18112.0
Dominica,2021-04-12,18423.0
Dominica,2021-04-20,20721.0
Dominica,2021-04-22,23055.0
Dominica,2021-04-28,27821.0
Dominica,2021-05-07,32008.0
Dominica,2021-05-12,33037.0
Dominica,2021-05-17,33949.0
Dominica,2021-05-18,34219.0
Dominica,2021-05-26,36449.0
Dominica,2021-05-28,36934.0
Dominica,2021-05-31,37080.0
Dominica,2021-06-02,37126.0
Dominica,2021-06-05,37400.0
Dominica,2021-06-09,37678.0
Dominica,2021-06-14,37978.0
Dominica,2021-06-17,38192.0
Dominica,2021-06-25,39309.0
Dominica,2021-07-02,39938.0
Dominica,2021-07-09,40004.0
Dominica,2021-07-16,40255.0
Dominica,2021-07-23,40334.0
Dominican Republic,2021-02-15,0.0
Dominican Republic,2021-02-16,385.0
Dominican Republic,2021-02-17,1379.0
Dominican Republic,2021-02-18,5328.0
Dominican Republic,2021-02-19,10200.0
Dominican Republic,2021-02-20,13087.0
Dominican Republic,2021-02-21,14264.0
Dominican Republic,2021-02-24,26400.0
Dominican Republic,2021-03-01,60000.0
Dominican Republic,2021-03-02,105000.0
Dominican Republic,2021-03-03,161827.0
Dominican Republic,2021-03-04,227719.0
Dominican Republic,2021-03-05,303490.0
Dominican Republic,2021-03-06,375265.0
Dominican Republic,2021-03-08,400041.0
Dominican Republic,2021-03-09,480237.0
Dominican Republic,2021-03-10,547091.0
Dominican Republic,2021-03-11,606006.0
Dominican Republic,2021-03-15,675000.0
Dominican Republic,2021-03-23,800000.0
Dominican Republic,2021-03-30,910869.0
Dominican Republic,2021-04-14,1509898.0
Dominican Republic,2021-04-25,1747878.0
Dominican Republic,2021-04-26,1797346.0
Dominican Republic,2021-04-27,1847261.0
Dominican Republic,2021-04-28,1893836.0
Dominican Republic,2021-04-29,1935500.0
Dominican Republic,2021-04-30,1970018.0
Dominican Republic,2021-05-01,1982185.0
Dominican Republic,2021-05-02,1989384.0
Dominican Republic,2021-05-03,2052662.0
Dominican Republic,2021-05-04,2123703.0
Dominican Republic,2021-05-05,2197153.0
Dominican Republic,2021-05-06,2264381.0
Dominican Republic,2021-05-07,2325108.0
Dominican Republic,2021-05-08,2345528.0
Dominican Republic,2021-05-09,2354281.0
Dominican Republic,2021-05-10,2483629.0
Dominican Republic,2021-05-11,2640409.0
Dominican Republic,2021-05-12,2801356.0
Dominican Republic,2021-05-13,2941030.0
Dominican Republic,2021-05-14,3071487.0
Dominican Republic,2021-05-15,3105105.0
Dominican Republic,2021-05-16,3119820.0
Dominican Republic,2021-05-18,3370726.0
Dominican Republic,2021-05-19,3488131.0
Dominican Republic,2021-05-20,3593646.0
Dominican Republic,2021-05-21,3694329.0
Dominican Republic,2021-05-22,3725377.0
Dominican Republic,2021-05-23,3739010.0
Dominican Republic,2021-05-24,3845766.0
Dominican Republic,2021-05-25,3948015.0
Dominican Republic,2021-05-26,4041312.0
Dominican Republic,2021-05-27,4121584.0
Dominican Republic,2021-05-28,4188983.0
Dominican Republic,2021-05-29,4210215.0
Dominican Republic,2021-05-30,4214163.0
Dominican Republic,2021-05-31,4311374.0
Dominican Republic,2021-06-01,4456516.0
Dominican Republic,2021-06-02,4625387.0
Dominican Republic,2021-06-03,4761529.0
Dominican Republic,2021-06-04,4989807.0
Dominican Republic,2021-06-05,5115370.0
Dominican Republic,2021-06-06,5197199.0
Dominican Republic,2021-06-07,5417069.0
Dominican Republic,2021-06-08,5656548.0
Dominican Republic,2021-06-09,5900600.0
Dominican Republic,2021-06-10,6050983.0
Dominican Republic,2021-06-11,6173811.0
Dominican Republic,2021-06-12,6219867.0
Dominican Republic,2021-06-13,6251341.0
Dominican Republic,2021-06-14,6370569.0
Dominican Republic,2021-06-15,6473104.0
Dominican Republic,2021-06-16,6553710.0
Dominican Republic,2021-06-17,6675351.0
Dominican Republic,2021-06-18,6835074.0
Dominican Republic,2021-06-19,6943666.0
Dominican Republic,2021-06-20,7012445.0
Dominican Republic,2021-06-21,7172478.0
Dominican Republic,2021-06-22,7301587.0
Dominican Republic,2021-06-23,7402235.0
Dominican Republic,2021-06-24,7482545.0
Dominican Republic,2021-06-25,7545508.0
Dominican Republic,2021-06-26,7569805.0
Dominican Republic,2021-06-27,7583057.0
